uniq_id,category,sub_cat1,sub_cat2,sub_cat3,sub_cat4
eac7efa5dbd3d667f26eb3d3ab504464,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
b17540ef7e86e461d37f3ae58b7b72ac,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
348f344247b0c1a935b1223072ef9d8a,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
e12b92dbb8eaee78b22965d2a9bbbd9f,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
e33a9adeed5f36840ccc227db4682a36,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
cb34f0a84102c1ebc3ef6892d7444d36,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Lamps & Lighting,NA
f74b562470571dfb689324adf236f82c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
87bbb472ef9d90dcef140a551665c929,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
7e2aa2b4596a39ba852449718413d7cc,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
5afbaf65680c9f378af5b3a3ae22427e,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
5c76389a8c302c6d7d6e179393031b97,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
878048c41f3c249badb3704e160b4c6e,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
f910c6542ededa5abf81787c0fd87c99,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
03a35de3f7af9814978e6de645cb8ffa,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
c68c3ae3b0ea3146beae99f3d4a6997c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
d27964f50577db8e46f2069b050c62c6,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
c3b2f6ec9cf6250c960c26ee8ad33509,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
e9ef14a0253f074343b5441540d8471f,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
0ca63377ca8015e585efa1d418f04756,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
42d20aa25e5902eff9f5d307bb38230e,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
4aaa27925929708a6b56fd7e46b35208,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
81b3ad5c07a31fa67e4dc8643afa3275,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
26de90be8191b92ea208c2111c7090cd,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
4eb5ea748ea030b14c3d1789f9578133,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
1b3d6d9f9c79db8c54c0c2cbb50de1cf,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
79fd94b655dbcf797005e39e700eb3f1,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
6c4062e5b0da136365915b470ec9d4a4,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
3b4be663a9878555100854f626202b17,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
8e8be9b29d3b1a794a906510fad8a75d,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
8a9af1fc5f227191c00447b0c44f7700,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Signal & Sound,NA
93a2c5173f17b896dc614ffbac0c2f2c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
72c57da443c042d8d8bc88f353a5b016,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
efefa0150b69140f217da35f1f8a9e11,Hobbies,Model Trains & Railway Sets,Accessories,Recreational Activities,NA
b4130b0826214cc02b82b9481569b835,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Lamps & Lighting,NA
e3284186ff6c2c43380001cc010338f0,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
e4bbad5854ce01970f9e6b879407f72d,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
9cfcb02573dc2bb4f04d8660dec33e84,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
0172e9caba8351ea12832e4c42e0c840,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
277d90230da7ccb046a7c17fe0da202b,Hobbies,Model Trains & Railway Sets,Accessories,Recreational Activities,NA
79e16a6819d997b7053a808a79d341b8,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
21d778f71b5cc00344701881ad1c5fec,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Signal & Sound,NA
cc4c844b8b6c42c63a2c024229ef0b81,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
d5a8c72773ae4ebb712ffca0054a0461,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
0f786326e462000a700e5460d7bfbb98,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
eaa7356d0552e564a405fc35ceee3bf1,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
660b30ec7520119f22681588b9b1e25e,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
90f2e5f83df18b920c4aaaa2fd64bca4,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
fe0b2ec319cde46d25c34eda5bdc6089,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
1540ee871c7e224e2dad5c1e0a1b6ec5,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
b7305bef81247f7f4acafbbf8f2bff5f,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
9354e87c34db3d0e347714ae98bc2599,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Lamps & Lighting,NA
bb1c431e390121da9f269b06b68e4e1a,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
58161fc326cb43d81140ae361911035f,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
c47c3e59171ae2698a7458963db9a154,Hobbies,Model Trains & Railway Sets,Accessories,Recreational Activities,NA
a904e69ec08ecbfde95106cc092c4983,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
57539ecb926423ce2c0b0231429363f4,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
8a111d2a3a6bfdc000eeddd439324848,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
995777a914a1edb958a0da25b145643b,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Transformers & Decoders,NA
51bf530a535196413fc510972bcb5a4c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
b6e86fd32fc87ffbbb21d52f6ad8f06c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
590ad6c0f9bdbbac7887ec4e36eb08a0,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
225d50e558fd4464b6e1c2416c6b7e4e,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
835e3add1236908071ebadf0b29776db,Hobbies,Model Trains & Railway Sets,Lighting & Signal Engineering,Signal & Sound,NA
6d73a76c4ee846231cbb889d6b09182c,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Locomotives,NA
